image,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled
A100 - Site 19.tif,1,147452,7.751736801727442,7.751736801727442,7.751736801727442,1.6061106504536458,1.6061106504536458,1.6061106504536458,0.26134206843495206,0.26134206843495206,0.26134206843495206,80.44907495320511,63.78053738460598,10.3782,65428
A100 - Site 20.tif,1,52652,4.983306705321754,4.983306705321754,4.983306705321754,0.9870245063285881,0.9870245063285881,0.9870245063285881,0.24698568745681604,0.24698568745681604,0.24698568745681604,88.65900630555345,71.09865589869003,17.7912,52749
A100 - Site 3.tif,1,111761,7.975995100385585,7.975995100385585,7.975995100385585,1.4953519456092437,1.4953519456092437,1.4953519456092437,0.23074128751159814,0.23074128751159814,0.23074128751159814,106.42689310224497,86.47381393624907,13.343399999999999,53960
A104 - Site 17.tif,4,48754,5.027071168804398,4.875132926659978,4.235475194864282,1.3048481708100301,1.1834176642619885,0.8640752866233883,0.3177279343520475,0.32057057364281205,0.2562956961551209,87.91321737703574,69.97812508912529,20.7564,70126
A104 - Site 2.tif,2,115424,3.6227955730184744,3.6227955730184744,3.462395091630412,0.510422309328833,0.510422309328833,0.5533701223103012,0.1646521587226827,0.1646521587226827,0.19022529132443688,128.33367410590517,107.82301051694016,37.065,58382
A104 - Site 22.tif,5,30103,5.409643500876524,5.152155337104805,4.747491881968079,1.0950249962106335,1.1477258491536095,1.2992562873175906,0.27369749725238346,0.28661407384777843,0.3767887232350752,91.50220908215128,66.46060323865694,19.273799999999998,57987
A104 - Site 44.tif,1,50705,6.042124147863651,6.042124147863651,6.042124147863651,1.4144573902783537,1.4144573902783537,1.4144573902783537,0.30565238686914337,0.30565238686914337,0.30565238686914337,98.53858593827039,75.47076612903226,16.3086,59520
A104 - Site 5.tif,1,60581,4.619202699780683,4.619202699780683,4.619202699780683,2.2359204114374602,2.2359204114374602,2.2359204114374602,0.9381685174062782,0.9381685174062782,0.9381685174062782,102.72644888661462,53.00181483429774,22.238999999999997,38020
A106 - Site 6.tif,1,28853,5.833079211913761,5.833079211913761,5.833079211913761,0.9704343330172233,0.9704343330172233,0.9704343330172233,0.19956923794583842,0.19956923794583842,0.19956923794583842,86.48123245416421,72.09357302314652,14.825999999999999,42555
A110 - Site 29.tif,2,42941,3.636282646326736,3.636282646326736,3.4354796729482495,0.8689425462718735,0.8689425462718735,0.6550919169295307,0.315398957240922,0.315398957240922,0.2356117111478394,101.86884329661629,82.44405776927093,29.651999999999997,51723
A110 - Site 37.tif,3,49326,5.954024791783486,5.806721271690089,4.95625355157557,1.5772040762536133,2.013922051545316,0.9630259033846924,0.3562407288595882,0.3759684160958474,0.2411647890159232,102.8739812674857,82.88503039684142,20.7564,44577
A112 - 219.tif,52,115312,3.449678887205293,3.4367704158112122,3.7181981622246227,1.1046565895340636,0.9604154680080468,1.323931940038604,0.47207086150494015,0.45919701424373344,0.5529593691952195,154.3528167059803,99.39269485230642,41.5128,272219
A112 - 220.tif,30,62016,3.4310201089079686,3.308339558177401,3.738613613995194,0.9993297298582592,0.9532734721069028,1.2675255694376473,0.4086922729701675,0.38543520580494883,0.5129422936207187,155.20031927244582,102.58178380081941,41.5128,184034
A112 - 221.tif,21,100533,3.531696001262688,3.6125835585345296,3.7393916667529217,1.2557434801134206,1.227244145548697,1.399925219168784,0.5640899692321847,0.5637094880995178,0.5983950829793896,160.77664050610247,100.58629572385368,42.9954,186336
A112 - 222.tif,21,60499,3.4993242613625455,3.4827926542302605,3.8629859064973733,1.0519372595872651,1.0052153580237806,1.4833806048007339,0.4414213748065779,0.3997449799881338,0.6233725414853176,160.363361377874,98.7840789920683,41.5128,135406
A112 - 223.tif,31,108686,3.4161653013273643,3.4190979442251592,3.4682044803517846,1.0300334744388375,0.82445333276793,1.2859824451651514,0.43820793589136453,0.33302210312862307,0.589299541618239,169.68467879947738,106.7669588709564,48.925799999999995,213207
