image,object_id,area_px,mu_F,mu_B,sigma_B_mad,n_bg_px,snr,cnr,weber_contrast
A100 - Site 19.tif,1,147452,80.44907495320511,63.78053738460598,10.3782,65428,7.751736801727442,1.6061106504536458,0.26134206843495206
A100 - Site 20.tif,1,52652,88.65900630555345,71.09865589869003,17.7912,52749,4.983306705321754,0.9870245063285881,0.24698568745681604
A100 - Site 3.tif,1,111761,106.42689310224497,86.47381393624907,13.343399999999999,53960,7.975995100385585,1.4953519456092437,0.23074128751159814
A104 - Site 17.tif,1,25484,87.72986972217862,66.47564878243912,17.7912,39998,4.931082202036276,1.194647967972538,0.31972942462138004
A104 - Site 17.tif,2,8108,105.89072520966947,93.72903820256573,38.547599999999996,14109,2.7470121403718872,0.3154979039926937,0.12975367334424742
A104 - Site 17.tif,3,14638,78.59413854351688,59.4774037435058,16.3086,14051,4.819183651283681,1.1721873605514392,0.321411722664244
A104 - Site 17.tif,4,524,78.9885496183206,52.658439201451905,10.3782,2755,7.611006681525749,2.5370594507234494,0.5000169167783186
A104 - Site 2.tif,1,103117,131.43244081965148,111.91516688141652,38.547599999999996,48118,3.4096141078966093,0.5063161891576075,0.1743934667690859
A104 - Site 2.tif,2,12307,102.36995205980337,88.63883476227592,26.686799999999998,10264,3.835977038140339,0.5145284295000586,0.15491085067627952
A104 - Site 22.tif,1,9206,84.02444058222898,65.30663878724516,16.3086,9565,5.152155337104805,1.1477258491536095,0.28661407384777843
A104 - Site 22.tif,2,18561,95.38747912289209,66.04944286213961,19.273799999999998,40026,4.94907486190587,1.522171872984609,0.44418294818240756
A104 - Site 22.tif,3,1,78.0,74.46960667461263,11.8608,839,6.576284899352249,0.2976522091604987,0.047407170288128256
A104 - Site 22.tif,4,1524,95.08792650918635,79.41125163541213,26.686799999999998,4586,3.5631070969001635,0.5874317965398587,0.1974112553190051
A104 - Site 22.tif,5,811,80.74352651048089,57.96909139355183,11.8608,3753,6.807595309119531,1.9201432532145917,0.39287203862459796
A104 - Site 44.tif,1,50705,98.53858593827039,75.47076612903226,16.3086,59520,6.042124147863651,1.4144573902783537,0.30565238686914337
A104 - Site 5.tif,1,60581,102.72644888661462,53.00181483429774,22.238999999999997,38020,4.619202699780683,2.2359204114374602,0.9381685174062782
A106 - Site 6.tif,1,28853,86.48123245416421,72.09357302314652,14.825999999999999,42555,5.833079211913761,0.9704343330172233,0.19956923794583842
A110 - Site 29.tif,1,30950,94.33712439418417,82.71397980289574,29.651999999999997,41095,3.1814759329006277,0.3919851810120257,0.140522129603493
A110 - Site 29.tif,2,11991,121.30898173630223,81.40035754610463,29.651999999999997,10628,4.091089359752845,1.3458999115317214,0.49027578487835094
A110 - Site 37.tif,1,13165,111.91758450436764,73.10165364715431,19.273799999999998,9857,5.806721271690089,2.013922051545316,0.5309856742675
A110 - Site 37.tif,2,4616,126.46425476603119,91.9092715231788,16.3086,12080,7.754451926498086,2.1188197160801168,0.3759684160958474
A110 - Site 37.tif,3,31545,95.64774132192106,82.32946113074205,22.238999999999997,22640,4.300901177162285,0.5988704611354068,0.16176809621541724
A112 - 219.tif,1,844,132.38625592417063,100.54746835443038,39.2889,4108,3.3695587275407313,0.8103761510664969,0.31665429361524855
A112 - 219.tif,2,344,164.65406976744185,108.29450856942987,48.925799999999995,2859,3.3653832892622715,1.1519394917710615,0.5204286157933338
A112 - 219.tif,3,1639,128.93654667480172,95.24827457563887,37.065,5361,3.4786603707005295,0.9088971290995245,0.35368905364131625
A112 - 219.tif,4,1854,120.94606256742179,88.77464195450716,35.5824,4748,3.3990417322449122,0.9041385798561437,0.3623942592275059
A112 - 219.tif,5,302,134.59271523178808,93.22208786779524,44.477999999999994,2481,3.026051423209847,0.9301368621496352,0.4437856768261355
A112 - 219.tif,6,1140,126.46052631578948,94.52892016714317,35.5824,4547,3.554019017273969,0.8973988865189622,0.3377972168602777
A112 - 219.tif,7,1119,142.80697050938338,90.28538638102525,40.0302,3921,3.567480813828274,1.3120490058815004,0.5817285191746048
A112 - 219.tif,8,2072,192.86293436293437,113.20382165605096,48.925799999999995,5024,3.94194748626522,1.6281616793307783,0.7036786526684251
A112 - 219.tif,9,1840,143.75760869565218,89.96186343914135,34.099799999999995,4379,4.215790375705849,1.5775970897405516,0.5979838922181007
A112 - 219.tif,10,549,203.86703096539162,153.15393759286775,66.717,3365,3.05569841172167,0.7601225079803147,0.33112497247066724
A112 - 219.tif,11,801,139.0848938826467,93.06257853732093,40.0302,3979,3.4744990993775127,1.1496898674957623,0.49453084218942106
A112 - 219.tif,12,913,125.64950711938664,93.88670083625573,51.891,3707,2.4214123276709354,0.6121062665396668,0.3383099629322808
A112 - 219.tif,13,3334,169.61787642471506,112.55071948836382,41.5128,5629,4.085917509391221,1.3746882147820518,0.507035025548467
A112 - 219.tif,14,2757,142.68335146898804,97.67159603246168,42.9954,5545,3.318572485331043,1.0468970035412484,0.4608479564208
A112 - 219.tif,15,7000,135.41414285714285,84.94100047869794,35.5824,8356,3.8056495014132365,1.4184861719350028,0.5942141261352432
A112 - 219.tif,16,710,100.97464788732394,96.55917394757745,37.065,2518,2.7242586769211212,0.11912785481060872,0.04572816604340874
A112 - 219.tif,17,1284,163.88006230529595,91.5759539236861,41.5128,4167,3.9476995593122832,1.7417304629943666,0.789553428337402
A112 - 219.tif,18,176,123.9659090909091,96.94627299128751,38.547599999999996,2066,3.2159176980862605,0.7009421103418153,0.2787073217271874
A112 - 219.tif,19,1893,153.00105652403593,91.25675891857303,41.5128,6251,3.6856356710985425,1.487355649115197,0.6765997207263341
A112 - 219.tif,20,1339,158.47796863330845,92.98739295908659,37.065,4204,4.275677015797968,1.766911524525907,0.7042952123197391
A112 - 219.tif,21,806,146.09429280397023,100.23305307409353,32.6172,3806,4.479056839924325,1.40604465483905,0.45754607206666686
A112 - 219.tif,22,1531,105.78118876551274,87.35504885993485,38.547599999999996,5833,2.744170551164561,0.47801004215042664,0.21093388583655917
A112 - 219.tif,23,899,116.67964404894327,93.864262990456,32.6172,3772,3.577242804813744,0.6994892587804099,0.24306781227671748
A112 - 219.tif,24,1210,162.25289256198346,91.39902326917553,38.547599999999996,3481,4.209156796269856,1.838087696106296,0.7752147315227532
A112 - 219.tif,25,1000,142.468,85.17809117743522,37.065,3049,3.8437339798074373,1.5456605640660506,0.6725897237647386
A112 - 219.tif,26,776,111.46649484536083,88.02688664833487,38.547599999999996,3273,2.8916584901899016,0.6080691973286345,0.2662778281368034
