image,split,Segmentation Quality,Filter Loading,Asbestos Present,Asbestos Type,accuracy,precision,recall,specificity,dice,iou,tversky,f2,tp,fp,fn,tn,match_status,matched_sample_id,parsed_site_number,Origin of data,Sampling position,Environment,Pump Flow (L/min),Volume sampled (L; dm3),"Frame Width, px","Frame Height, px","Pixel Resolution, nm/px","Images needed to find 3 fibers at 0.003 f/cm3, #",Minimum number of fibres for early termination,Filter Coverage (%),Median Otsu Coverage (%),GT Foreground Fraction (%),Frames Analyzed,Acquired Spectra,"Analyzed volume, cm3",Asbestos Counted,WHO Asbestos Counted,"Airborne WHO Asbestos Concentration, fibers/cm3",8 hr TWA,Sample Notes,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled,mask_quality,filter_loading,asbestos
a_E200175-12116-L_11.tif,train,,,False,,0.9986807911447458,0.6410080522577782,0.9707705202515706,0.998745207784398,0.7721553456402575,0.6288705520674328,0.8409795627842188,0.8802071403034987,82233.0,46054.0,2476.0,36656437.0,no_sample_prefix_match,,,,,,,,,,,,,,0.2802061586638831,0.2302675930758524,,,,,,,,,4,84709,5.162550362677857,5.030712817827045,5.468075700108071,2.2772210148855727,2.3688740930591665,2.613491322171498,0.8114647645930645,0.8246967583905123,0.915541800804516,202.6742258791864,105.8051699967649,37.065,64913,3,low,False
A33 - Site 2.tif,train,,,False,,0.997155883095481,0.5359252243312785,0.8433087524585937,0.9976508063369476,0.6553644123440405,0.4873918393655688,0.7195055702354436,0.7565265689293146,124765.0,108038.0,23182.0,45881359.0,ambiguous_site_not_found,A33,2.0,,,,,,,,,,,,1.809152689847079,0.320666486566717,,,,,,,,,34,147947,3.7665228556123207,3.78696254127278,3.396924851768345,1.2956931085503074,1.1644111181647916,1.0524851155849435,0.5255806492022581,0.4751659128636192,0.448928202052201,38829.72485417075,26798.929580616536,11430.846,259190,2,high,True
A97 - Site 3.tif,train,,,False,,0.9968577298251032,0.6707741548306978,0.9527219002153922,0.9971287368465828,0.7872655131122985,0.6491656018892441,0.8460370084417769,0.8788409322024093,16766.0,8229.0,832.0,2857757.0,matched_unique_sample,A97,3.0,Asbyg,Personal,Indoor,1.9,132.9999999999998,8192.0,5632.0,50.0,32.0,2.438527512375982,13.7,11.242433027787644,0.6102822043678977,10.0,152.0,312.51995192209705,10.0,6.0,0.0191987742321669,0.002799821242191,,1,17598,6.432470450888715,6.432470450888715,6.432470450888715,1.1416025514555346,1.1416025514555346,1.1416025514555346,0.2157684850685487,0.2157684850685487,0.2157684850685487,143.05171042163883,117.66361126840316,22.239,28256,5,low,True
A78 - Site 3.tif,train,,,False,,0.995663382790302,0.8631280851586807,0.996420633689849,0.9956424996685872,0.9249971510312712,0.8604601856810323,0.9523015611317618,0.9665673078610204,77111.0,12228.0,277.0,2793968.0,ambiguous_site_not_found,A78,3.0,,,,,,,,,,,,3.981815684925426,2.683743563565341,,,,,,,,,1,77388,4.1618969201419285,4.1618969201419285,4.1618969201419285,1.4857470275707962,1.4857470275707962,1.4857470275707962,0.5551807959473686,0.5551807959473686,0.5551807959473686,166.60156613428438,107.12681545636242,40.0302,60040,5,low,True
A44_15.00kV_0.10nA_16.9nm_500.00ns_067.tif,train,,,False,,0.9983249058459376,0.5303861914813697,0.9072217502122116,0.9984955350593078,0.669414622678421,0.5030978350490585,0.7478245644750507,0.7943462897526206,42712.0,37818.0,4368.0,25099358.0,ambiguous_no_site_in_filename,A44,,,,,,,,,,,,,0.5019207238045864,0.1869421911848418,,,,,,,,,1,47080,2.573159792481742,2.573159792481742,2.573159792481742,0.7442972865940444,0.7442972865940444,0.7442972865940444,0.406972795462694,0.406972795462694,0.406972795462694,186.9333687340697,132.86210602851452,72.64739999999999,31633,3,low,False
A44_15.00kV_50pA_37.5nm_750.00ns_063.tif,train,,,False,,0.9983014388036712,0.2591608566180597,0.9219741182435156,0.998349245556706,0.4045932215184906,0.2535987855734058,0.5216966807971106,0.6099700344980477,14534.0,41547.0,1230.0,25126945.0,ambiguous_no_site_in_filename,A44,,,,,,,,,,,,,0.0818209598885907,0.062594662316012,,,,,,,,,2,15764,3.000452578545009,3.000452578545009,2.986768080237552,0.9813482173857948,0.9813482173857948,0.9721729044406932,0.4866063769137702,0.4866063769137702,0.4825648924647242,199.2682060390764,134.40774636378492,66.717,18357,4,low,False
A44_10.00kV_0.10nA_28.1nm_250.00ns_049.tif,train,,,False,,0.999418485898491,0.8757213860031386,0.7987152494304992,0.9997901161243402,0.8354475892986624,0.7173980162863809,0.8203565462804441,0.8130136417114984,37177.0,5276.0,9369.0,25132434.0,ambiguous_no_site_in_filename,A44,,,,,,,,,,,,,0.0330246007664471,0.1848218188379279,,,,,,,,,1,46546,2.76010355077342,2.76010355077342,2.76010355077342,0.845981448437078,0.845981448437078,0.845981448437078,0.441968381922806,0.441968381922806,0.441968381922806,188.23795814892796,130.5423617496388,68.19959999999999,38065,4,low,True
A51 - Site 19.tif,train,,,False,,0.970294258811254,0.9895067531341852,0.8708215846751574,0.9974765081230784,0.9263782325928304,0.8628534375099929,0.9033260849924662,0.8922249491406867,538921.0,5715.0,79944.0,2259004.0,matched_unique_sample,A51,19.0,Asbyg,Personal,Outdoor,1.9,146.3000000000001,8192.0,5632.0,50.0,30.0,2.6823802636135863,4.3,13.901589133522728,21.461660211736504,15.0,94.0,515.6579206714612,4.0,3.0,0.0058178103733839,0.000933273747397,,2,618865,9.91587412786181,9.91587412786181,8.770094581009369,3.1380292192993617,3.1380292192993617,4.212080191975622,0.5767236095610523,0.5767236095610523,0.9241041892027114,130.02542234574585,67.57712137739448,14.826,127429,4,low,True
A32 - Site 3.tif,train,,,False,,0.997759862379594,0.3521551724137682,0.8102523249006942,0.9980101717524994,0.4909372106310217,0.3253259003466048,0.5828098176153198,0.6429717818511931,49837.0,91683.0,11671.0,45984153.0,matched_sample_and_site,A32,3.0,Asbyg,Personal,Indoor,1.9,174.8,8192.0,5632.0,50.0,25.0,3.204921873408438,72.0,1.7574050209738992,0.1333149996670809,5.0,106.0,205.3702541202355,17.0,12.0,0.0584310520109427,0.011199284968764,,38,61508,3.6238598440975696,3.578314405269434,3.215398340366267,1.2583497165530726,1.254951600672022,1.125105249918935,0.5302949904584164,0.5461699611888041,0.5382523891315482,35243.53684073617,22911.41368590901,10960.8618,177248,1,high,False
A53 - Site 3.tif,train,,,False,,0.9732291481711616,0.7657615322088519,0.7494654932378213,0.9864523588453727,0.757525881998167,0.6096914784964956,0.7542810104285043,0.752668976950416,120586.0,36886.0,40310.0,2685802.0,matched_unique_sample,A53,3.0,Asbyg,Personal,Outdoor,1.9,140.6000000000001,8192.0,5632.0,50.0,31.0,2.577871941654615,1.6,3.9799083362926138,5.579723011363636,13.0,14.0,429.4917053557973,6.0,6.0,0.0139700020400382,0.0021537086478392,,4,160896,3.629854290860583,3.7066799251558415,4.232833685733727,-0.0638180129816229,-0.12180574779474,0.5553166318800342,-0.0236670677194233,-0.0291123235804049,0.1510031425409344,25805.26400283413,22419.803256023584,6096.4512,164188,3,medium,True
