image,mask_quality,filter_loading,asbestos
A100 - Site 19.tif,5,low,True
A100 - Site 20.tif,5,medium,True
A100 - Site 3.tif,3,low,False
A104 - Site 17.tif,4,medium,True
A104 - Site 2.tif,4,high,True
A104 - Site 22.tif,4,medium,True
A104 - Site 44.tif,5,low,True
A104 - Site 5.tif,5,medium,True
A106 - Site 6.tif,5,low,False
A110 - Site 29.tif,4,high,True
A110 - Site 37.tif,4,medium,True
A112 - 219.tif,1,medium,False
A112 - 220.tif,2,high,False
A112 - 221.tif,2,high,True
A112 - 222.tif,2,high,False
A112 - 223.tif,2,high,True
A112 - 224.tif,2,high,False
A112 - Site 13.tif,3,medium,True
A112 - Site 2.tif,2,medium,False
A112 - Site 20.tif,3,low,True
A112 - Site 21.tif,3,medium,True
A112 - Site 34.tif,3,medium,True
A112 - Site 4.tif,4,medium,True
A112 - Site 46.tif,3,medium,False
A112 - Site 5.tif,4,medium,True
A112 - Site 6.tif,0,medium,False
A112_001.tif,1,high,False
A112_002.tif,2,high,False
A112_003.tif,2,medium,False
A112_004.tif,2,medium,True
A112_005.tif,2,medium,True
A112_006.tif,2,medium,False
A112_007.tif,1,high,False
A112_008.tif,2,medium,False
A112_009.tif,3,medium,True
A112_010.tif,1,medium,False
A113 - Site 15.tif,4,very low,True
A124 - Site 12.tif,4,high,True
A124 - Site 22.tif,4,very high,True
A125 - Site 10.tif,4,medium,True
A125 - Site 19.tif,3,medium,True
A125 - Site 29.tif,4,high,True
A125 - Site 37.tif,3,high,True
A125 - Site 4.tif,4,medium,True
A126 - Site 19.tif,4,low,True
A126 - Site 4.tif,4,high,True
A126 - Site 47.tif,3,medium,False
A126 - Site 48.tif,4,medium,True
A13 - Site 8.tif,3,high,True
A139 - Site 18.tif,4,high,True
A139 - Site 20.tif,4,high,False
A139 - Site 5.tif,4,high,True
A140 - Site 11.tif,0,medium,True
A30_Site1.tif,4,very high,True
A30_Site2.tif,3,very high,True
A30_Site3.tif,3,very high,True
A30_Site4.tif,2,very high,True
A30_Site5.tif,3,very high,True
A31_Site1.tif,2,very high,True
A31_Site2.tif,3,very high,True
A31_Site3.tif,2,very high,False
A31_Site4.tif,3,very high,True
A31_Site5.tif,2,very high,True
A32 - Site 1.tif,3,very high,True
A32 - Site 2.tif,1,high,False
A32 - Site 3.tif,1,high,False
A32 - Site 4.tif,1,very high,False
A32 - Site 5.tif,1,very high,False
A33 - 216.tif,2,very high,True
A33 - 217.tif,2,very high,True
A33 - 218.tif,2,very high,True
A33 - 225.tif,2,very high,True
A33 - Site 1.tif,2,high,True
A33 - Site 2.tif,2,high,True
A33 - Site 3.tif,1,high,False
A33 - Site 4.tif,2,high,True
A33 - Site 5.tif,3,high,True
A33_001.tif,1,high,False
A33_002.tif,1,high,True
A33_003.tif,1,very high,True
A33_004.tif,2,high,True
A33_005.tif,1,high,False
A33_10.00kV_0.10nA_22.5nm_500.00ns_006.tif,4,very low,True
A33_10.00kV_0.10nA_33.7nm_50.00ns_003.tif,3,very low,False
A33_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,3,low,False
A33_10.00kV_0.10nA_45.0nm_500.00ns_005.tif,4,very low,False
A33_10.00kV_0.20nA_42.2nm_50.00ns_007.tif,4,very low,True
A33_15.00kV_0.20nA_33.7nm_500.00ns_016.tif,4,low,True
A33_15.00kV_0.20nA_39.7nm_25.00ns_010.tif,4,low,True
A33_15.00kV_0.20nA_39.7nm_50.00ns_008.tif,4,low,True
A33_15.00kV_0.20nA_39.7nm_50.00ns_009.tif,4,low,True
A33_15.00kV_50pA_39.7nm_50.00ns_011.tif,4,low,True
A33_20.00kV_0.20nA_22.5nm_50.00ns_018.tif,4,low,True
A33_20.00kV_0.20nA_33.7nm_50.00ns_017.tif,4,low,True
A33_20.00kV_0.20nA_33.7nm_500.00ns_014.tif,4,low,True
A33_20.00kV_0.20nA_33.7nm_500.00ns_015.tif,4,low,True
A33_20.00kV_50pA_39.7nm_25.00ns_013.tif,3,low,True
A33_20.00kV_50pA_89.9nm_15.00µs_021.tif,4,low,True
A36 - Site 1.tif,2,high,False
A36 - Site 2.tif,1,high,False
A36 - Site 3.tif,2,very high,True
A36 - Site 4.tif,1,very high,False
A36 - Site 5.tif,1,very high,False
A37 - Site 2.tif,2,very high,True
A37 - Site 3.tif,1,high,False
A37 - Site 4.tif,1,very high,False
A37 - Site 5.tif,2,high,True
A37 - Site 6.tif,2,high,False
A41 - Site 12.tif,4,very low,True
A41 - Site 5.tif,5,very low,True
A44 - Site 13.tif,4,very low,True
A44 - Site 16.tif,4,very low,True
A44 - Site 5.tif,5,very low,True
A44 - Site 8.tif,4,medium,True
A44_10.00kV_0.10nA_16.9nm_250.00ns_054.tif,3,low,False
A44_10.00kV_0.10nA_28.1nm_250.00ns_049.tif,4,low,True
A44_10.00kV_0.10nA_28.1nm_500.00ns_048.tif,4,low,True
A44_10.00kV_0.10nA_33.7nm_250.00ns_050.tif,4,low,False
A44_10.00kV_0.10nA_33.7nm_250.00ns_053.tif,4,very low,False
A44_10.00kV_0.20nA_30.7nm_500.00ns_047.tif,3,low,False
A44_15.00kV_0.10nA_16.9nm_500.00ns_067.tif,3,low,False
A44_15.00kV_0.10nA_22.5nm_500.00ns_068.tif,3,low,False
A44_15.00kV_0.10nA_33.7nm_250.00ns_051.tif,0,very low,False
A44_15.00kV_0.10nA_33.7nm_250.00ns_052.tif,1,low,False
A44_15.00kV_0.10nA_37.5nm_750.00ns_062.tif,2,low,True
A44_15.00kV_0.20nA_45.0nm_250.00ns_060.tif,4,low,True
A44_15.00kV_0.20nA_45.0nm_750.00ns_061.tif,4,low,True
A44_15.00kV_0.40nA_45.0nm_250.00ns_059.tif,4,low,False
A44_15.00kV_50pA_16.9nm_50.00ns_065.tif,3,low,False
A44_15.00kV_50pA_16.9nm_500.00ns_066.tif,4,low,False
A44_15.00kV_50pA_37.5nm_50.00ns_064.tif,3,low,False
