image,path,width_px,height_px,pixel_size_nm,pixel_size_nm_height,field_width_um,field_height_um,source,error
A100 - Site 19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A100 - Site 19.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A100 - Site 19.tif' — fall back to measuring the scale bar.
A100 - Site 20.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A100 - Site 20.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A100 - Site 20.tif' — fall back to measuring the scale bar.
A100 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A100 - Site 3.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A100 - Site 3.tif' — fall back to measuring the scale bar.
A104 - Site 17.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A104 - Site 17.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A104 - Site 17.tif' — fall back to measuring the scale bar.
A104 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A104 - Site 2.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A104 - Site 2.tif' — fall back to measuring the scale bar.
A104 - Site 22.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A104 - Site 22.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A104 - Site 22.tif' — fall back to measuring the scale bar.
A104 - Site 44.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A104 - Site 44.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A104 - Site 44.tif' — fall back to measuring the scale bar.
A104 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A104 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A104 - Site 5.tif' — fall back to measuring the scale bar.
A106 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A106 - Site 6.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A106 - Site 6.tif' — fall back to measuring the scale bar.
A110 - Site 29.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A110 - Site 29.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A110 - Site 29.tif' — fall back to measuring the scale bar.
A110 - Site 37.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A110 - Site 37.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A110 - Site 37.tif' — fall back to measuring the scale bar.
A112 - 219.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 219.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 219.tif' — fall back to measuring the scale bar.
A112 - 220.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 220.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 220.tif' — fall back to measuring the scale bar.
A112 - 221.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 221.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 221.tif' — fall back to measuring the scale bar.
A112 - 222.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 222.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 222.tif' — fall back to measuring the scale bar.
A112 - 223.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 223.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 223.tif' — fall back to measuring the scale bar.
A112 - 224.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - 224.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - 224.tif' — fall back to measuring the scale bar.
A112 - Site 13.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 13.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 13.tif' — fall back to measuring the scale bar.
A112 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 2.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 2.tif' — fall back to measuring the scale bar.
A112 - Site 20.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 20.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 20.tif' — fall back to measuring the scale bar.
A112 - Site 21.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 21.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 21.tif' — fall back to measuring the scale bar.
A112 - Site 34.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 34.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 34.tif' — fall back to measuring the scale bar.
A112 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 4.tif' — fall back to measuring the scale bar.
A112 - Site 46.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 46.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 46.tif' — fall back to measuring the scale bar.
A112 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 5.tif' — fall back to measuring the scale bar.
A112 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112 - Site 6.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112 - Site 6.tif' — fall back to measuring the scale bar.
A112_001.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_001.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_001.tif' — fall back to measuring the scale bar.
A112_002.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_002.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_002.tif' — fall back to measuring the scale bar.
A112_003.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_003.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_003.tif' — fall back to measuring the scale bar.
A112_004.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_004.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_004.tif' — fall back to measuring the scale bar.
A112_005.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_005.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_005.tif' — fall back to measuring the scale bar.
A112_006.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_006.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_006.tif' — fall back to measuring the scale bar.
A112_007.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_007.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_007.tif' — fall back to measuring the scale bar.
A112_008.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_008.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_008.tif' — fall back to measuring the scale bar.
A112_009.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_009.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A112_009.tif' — fall back to measuring the scale bar.
A112_010.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A112_010.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A113 - Site 15.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A113 - Site 15.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A113 - Site 15.tif' — fall back to measuring the scale bar.
A124 - Site 12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A124 - Site 12.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A124 - Site 12.tif' — fall back to measuring the scale bar.
A124 - Site 22.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A124 - Site 22.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A124 - Site 22.tif' — fall back to measuring the scale bar.
A125 - Site 10.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A125 - Site 10.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A125 - Site 10.tif' — fall back to measuring the scale bar.
A125 - Site 19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A125 - Site 19.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A125 - Site 19.tif' — fall back to measuring the scale bar.
A125 - Site 29.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A125 - Site 29.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A125 - Site 29.tif' — fall back to measuring the scale bar.
A125 - Site 37.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A125 - Site 37.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A125 - Site 37.tif' — fall back to measuring the scale bar.
A125 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A125 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A125 - Site 4.tif' — fall back to measuring the scale bar.
A126 - Site 19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A126 - Site 19.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A126 - Site 19.tif' — fall back to measuring the scale bar.
A126 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A126 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A126 - Site 4.tif' — fall back to measuring the scale bar.
A126 - Site 47.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A126 - Site 47.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A126 - Site 47.tif' — fall back to measuring the scale bar.
